geo_id,total_pop,white_pop,black_pop,asian_pop,hispanic_pop,amerindian_pop,median_income
36081018000,1210,63,432,204,177,130,68700
47157008110,2654,178,1921,0,348,197,20671
12049970102,3685,2465,26,6,1151,37,36190
21043960100,3222,3107,10,17,51,37,25446
35045943201,5324,748,8,0,383,4094,29135
48451001500,2782,1704,247,221,472,45,44306
01035960500,1568,964,488,0,81,32,19712
19171290500,3514,1985,32,32,902,501,47895
01091973100,1613,664,846,0,47,27,21133
39007000801,1777,1592,0,29,72,57,44271
08001009319,2723,897,6,15,1738,35,38433
12063210200,1402,401,870,0,17,42,30797
38077971100,1296,1202,0,0,36,50,62500
05113950300,2942,2700,0,13,3,75,40484
36033940000,3302,182,0,95,251,2677,42238
29065960300,2279,2069,48,0,57,52,24271
40031001700,1901,1096,217,10,320,97,21757
40109103900,3943,639,218,5,2699,285,32869
48141010401,5769,104,7,4,5575,77,32172
06099001603,6250,1488,94,194,4182,43,32900
55079015900,3460,533,497,0,2330,84,23719
04019003706,5391,319,215,39,4653,165,29470
05131000300,2517,944,437,64,963,33,34250
41035971800,2403,1859,101,25,232,95,35049
32003005902,1295,632,8,0,369,263,62560
02170000501,1479,1302,0,0,34,105,65833
02290000300,1876,263,0,15,22,1496,40625
26163564900,1981,1567,266,0,38,33,39301
42101016800,3239,161,2979,0,11,30,14704
05097953100,2047,1873,0,51,41,49,34856
06089010100,1494,1210,40,0,169,36,18911
33011001400,2219,1016,395,129,534,36,23614
12031002902,3031,87,2872,15,0,33,24336
18103952200,2614,2320,211,0,26,35,40707
35045942801,2705,22,0,2,33,2640,37125
26163524200,5998,1620,238,1,3822,88,26047
04013320002,6405,268,165,0,4383,1529,32298
04021001407,2618,1173,1,7,1355,36,44208
40109104100,2800,792,458,7,1107,202,17602
53015000703,1525,1294,0,35,130,32,38977
05023480501,2691,2456,43,0,138,41,43217
26005032401,1834,838,69,9,844,48,50500
12057012002,4154,1397,1050,0,1542,90,34766
53015001300,3884,2886,90,25,538,84,46667
32007950800,1586,1226,19,66,192,53,66917
48485010800,2252,1062,382,31,741,30,24980
01041963800,1588,946,552,0,33,46,29728
12081000106,5228,883,907,0,3293,87,41548
04001945002,3871,71,14,1,49,3659,22202
02122001200,930,446,0,2,18,347,53542
35005001300,3169,772,43,9,2303,39,40598
05131000200,5675,1501,793,599,2468,52,29891
48303000900,5401,154,2563,0,2492,44,28033
35031943700,4040,14,0,2,78,3931,26532
04013113602,4108,479,1041,65,2416,107,24267
04013106801,4448,1211,859,77,1932,83,23680
26119910200,1478,1381,14,0,13,47,38681
26163538800,1589,0,1429,0,8,30,38380
40101000400,1549,604,584,13,66,182,17986
02240000100,2232,1194,0,120,9,825,53375
39095005100,4201,1998,1090,126,710,47,15379
22057021300,2408,1907,81,38,180,103,48000
39023001200,3984,2017,1332,0,132,30,24519
06077000100,4055,473,911,377,2132,27,15527
32005002400,1925,883,9,48,483,433,47262
22117951000,3226,1990,1140,0,24,59,30335
53077940004,6300,414,18,58,4638,1074,40160
06115040500,3936,1577,10,289,1756,48,33571
40101001000,1689,854,410,36,49,233,45809
01059973600,1529,1474,0,14,9,30,39583
55139002900,2459,2135,64,0,134,49,41660
39031961400,2824,2547,54,20,0,54,22185
06037910402,3771,264,425,24,2711,141,26048
06037900606,3373,997,1099,100,1107,70,30083
01031010700,2206,1984,45,6,109,36,53343
13101880100,1556,1095,107,0,235,77,36897
06065043401,6793,2255,316,54,4087,61,32820
48201323200,5814,1356,149,21,4175,32,61471
04013115300,3227,281,847,10,1958,89,22653
30003940500,1303,403,6,0,9,813,44531
40023967200,2465,1104,781,0,118,188,19763
35035000602,2866,1907,68,93,666,60,40556
35045000706,2908,1164,0,0,1650,63,48125
06037540901,4694,169,1151,43,3284,30,39141
16005940000,2127,671,0,14,174,1228,40761
40109105600,5317,1187,347,0,3519,82,27589
54063950100,3301,3091,58,0,74,60,42591
37155960202,4404,393,506,0,885,2513,33611
40143004700,1897,1295,38,13,148,157,43542
04013115200,3243,604,521,110,1893,107,34186
13071970100,5673,3395,612,19,1492,44,43407
05007020301,4003,1717,164,85,1738,51,29085
13115002100,4141,1523,1764,49,483,117,26429
26065003200,2226,1137,331,135,344,30,33029
21143960200,1819,1759,0,0,0,29,60365
39003011600,2501,2435,19,0,0,36,51250
37119004500,2902,449,2019,131,21,103,34288
04017960100,1791,637,49,103,382,453,51542
35045000612,2240,1303,0,9,750,165,52959
39003012400,2137,1619,295,0,48,37,30803
48437950200,1890,1140,103,5,466,32,42014
40143000300,4034,947,1387,0,1133,95,27931
40143002100,2809,1570,335,263,406,60,12871
40137000300,2147,1641,40,0,331,58,44353
26099256100,2434,1698,446,31,175,29,41727
02060000100,890,480,4,3,32,291,84688
06001437701,3597,383,375,418,2139,48,62527
42079214100,2452,2071,8,33,168,41,37743
40033871200,2154,1783,93,0,162,41,49911
04017940012,3349,9,13,14,19,3289,38702
06067006202,3531,1206,580,269,1189,41,34101
26049002400,3216,2171,786,0,11,171,28004
35045942900,4475,27,16,40,65,4282,23806
04013092311,3199,1414,326,66,1282,48,30581
27119020200,1337,1135,31,0,68,49,31875
20007968200,1639,1486,14,0,28,48,50125
40087400400,1135,867,14,0,65,29,44671
05095950200,2062,1285,621,0,56,36,30000
40145030403,2511,1566,67,0,372,245,49779
04001942700,4813,29,6,21,24,4714,25063
39049007710,4566,2078,1604,277,389,41,36281
26073000700,8382,6944,395,133,379,167,14033
40143007311,2690,975,397,283,676,134,36726
39145003100,3398,3200,0,0,17,116,31651
27071790100,2131,1988,25,0,10,44,42458
06037240800,4296,38,1108,17,3076,30,36923
48495950300,3960,1128,99,0,2651,73,47229
51036600100,2719,1376,1136,12,49,97,60074
36063021400,2265,1741,402,0,75,27,39688
21203950100,3037,2878,8,0,110,30,41538
22085000300,2470,952,813,7,248,297,25197
54019020400,4575,4050,462,10,0,53,30493
20173005800,4465,2734,123,388,778,226,31818
04027000502,3133,1491,133,0,1398,81,55938
29510108200,2148,51,2045,0,4,31,24354
08041004402,6057,3651,638,219,1200,37,99750
12023110400,2285,851,1190,0,152,31,26894
22071001900,1409,351,794,12,188,50,28250
26163540700,3456,57,3159,0,130,89,35842
20173009000,3118,1934,107,126,678,68,40435
04013723305,2671,568,83,7,1403,564,31056
23029955400,1393,1256,0,0,29,32,46678
04007000600,1523,1296,0,0,121,70,36818
30111000300,4179,2725,78,0,631,564,28630
04012020201,1899,1640,0,0,188,44,31181
42045406401,2810,372,2334,0,65,33,37188
40131050701,2120,1304,1,5,61,482,36432
16011940000,2823,250,0,24,480,2024,38070
51650010200,2085,1302,329,202,77,34,84583
40143001400,5302,1515,659,62,2396,206,29255
16061940001,1748,1369,5,42,93,187,36528
06037531602,4613,52,7,0,4485,62,31587
37057061400,3183,1018,1354,0,629,35,17566
48371950500,6006,1514,532,21,3817,97,52609
48147950401,4999,2436,893,115,1405,32,36458
26099245200,3015,2036,777,23,46,39,33750
32033970300,2002,1556,14,9,289,130,61364
40109107221,2107,772,80,5,1034,77,52083
51083930202,2293,1008,1203,0,1,45,38446
04013082010,5181,655,280,78,4066,35,39568
40109107214,3084,1284,91,91,1365,103,50725
48485010700,2713,1213,352,0,1109,39,24793
48215024113,6491,129,0,0,6312,30,23235
47181950100,4923,4039,773,0,50,33,41250
40063484900,2339,1476,186,0,124,426,39299
06049000200,1520,1176,0,0,262,35,48220
27087940300,2478,1071,15,3,128,1072,47768
04013107202,5738,1169,210,333,3868,83,36589
36005005600,2384,25,611,12,1619,32,22750
12125960100,3681,2319,1050,56,166,31,38456
40037021300,2237,1671,25,15,220,208,36964
12093910602,2025,1650,60,0,196,105,52361
22109001300,8573,4362,1696,244,494,1383,36711
40127097800,2436,1694,3,0,34,441,42750
35029000500,4351,1373,35,13,2814,60,27962
27137013100,2486,1901,0,33,83,410,24708
20099950700,2119,1841,29,0,39,34,42917
06083002706,6620,1393,56,71,4861,35,48845
12081000201,4656,4000,136,127,312,50,33526
01061050100,4676,3832,364,0,251,76,27418
42101017202,3596,12,3399,144,0,41,21371
27087940100,3028,1449,13,18,101,1075,41604
12031002901,3648,44,3506,0,55,33,23558
06029003600,4391,2575,20,0,1720,46,37700
47147080302,2770,1596,829,0,305,40,31872
26021020100,2519,2150,205,0,20,41,57731
06065042902,5064,1164,66,133,3646,31,44257
20045000902,1879,1487,63,24,227,40,38456
40125501300,2642,2056,26,7,128,340,43214
41001950300,2429,2238,54,14,18,51,41300
06099002002,3902,1290,33,3,2296,52,37689
26099230500,3676,2881,341,61,313,31,38141
04021000901,4804,1207,318,21,2761,346,37188
06065031002,5365,651,251,0,4291,28,49564
16079960300,3832,3499,0,0,114,132,34750
35001001900,982,575,34,33,276,37,50625
06101050302,6028,1406,183,508,3804,39,42665
27061940000,2628,1788,14,10,17,695,51463
54039012900,1166,935,101,0,46,33,34083
27125010100,1880,1776,7,0,38,30,56012
48181000400,2626,2048,129,8,267,46,39132
21111004301,4345,1401,2413,277,118,29,18639
55009000100,2910,1749,138,412,416,117,38190
32003000109,4068,1488,530,126,1594,34,39464
40109106802,1687,1200,35,0,333,46,44948
48201222900,7548,299,534,17,6392,273,50895
30013000400,1754,1484,0,23,115,56,38882
06015000102,3418,1986,131,181,448,368,37770
37185950102,1251,836,343,0,7,37,47083
35035940000,3730,121,1,0,328,3280,33796
31055002400,3939,1114,49,46,2642,43,42438
06089012000,4671,3304,22,54,687,316,34743
40097040501,3319,1902,6,13,109,682,43594
05081030200,2718,1626,895,0,42,76,36127
39029951300,3911,3737,13,0,30,39,49980
12059960100,3987,3521,184,4,210,44,41649
20173006400,1896,1232,227,127,206,64,52852
55035000100,4832,4562,29,10,68,50,50644
04013105501,2468,728,381,147,999,61,31771
04015953602,3142,2306,141,0,474,133,24403
54067950700,3192,3118,0,0,0,46,41368
26011970100,2299,2137,4,9,86,39,40729
27123031400,2911,658,691,998,454,36,36875
26163545800,5279,1533,2834,0,631,85,27806
48309001700,6046,3059,1071,27,1659,92,38971
04019003503,4221,1752,369,33,1750,67,36943
40079040303,3984,2571,406,0,165,458,47028
